,Comment,Sentiment
53,really thanks bhai information helps debate conducted academy,Neutral
54,awesome vedios understand everything clearly,Positive
55,wondering u made video budget go youtubers finally thankyou much,Neutral
56,congratulations early days subscription watching,Neutral
57,first reporter gives information giving judgement good,Neutral
58,good know information u always provide stay blessed healthy,Positive
59,congratulations subscribers may god bless bless us free educational videos,Neutral
60,guy informative content easy language soft hindi channels use complex hindi words technical terminologies comprehendable non native speakers best wishes,Neutral
61,mai aapki video bhot pahle se dekhti aarhi hunn ir aage bhi dekhungi kyunki bhot si awareness knowledge milti hai aapki video se mai ye bhi chaahungi ki jo bhi facts aap bta rhe ho vo tbh sahi accurate ho wish ki aap logon ko gumrahh na kar rhe ho achi guidance provide kre,Neutral
62,really video awesome day day getting knowledge videos,Positive
63,congratulations dhruv million kindly also cover topics would really grateful taj hotel incident ram mandir case history judgement given without disparity btw thank great explanation,Positive
64,great effort brother making clear concept presentation many us enlightened various social concern would request present also english south indian brothers sisters great interest connected useful platform enhance people ignorance comprehensive knowledge country,Neutral
65,infrastructure spending roads help transportation back bone economy helps commercial business hence benifits big commercial houses ever certainly generate employment like wise development railways infrastructure benefit commercial houses taken railways,Neutral
66,bai bai yr jo plus point thay unko b bardi ache se demean kar diya apne claaps,Neutral
67,superb means superb average men understand whole concept fb deep simplify method regular viewer every post thanking efforts make us,Neutral
68,congratulations million totally deserve,Neutral
69,video helped complete economics project,Neutral
70,thank dhruv making video budget,Neutral
71,watched good video budget waiting video finally watched nicely explained,Neutral
72,congratulations dhruv sir million subscribers wish keep providing informative videos like,Neutral
73,plz make video united states federal budgetary process,Neutral
74,time liked video thumbs covered points band good ones,Positive
75,congratulations presently seriya turkey facing huge disasters due earthquakes make video condition people,Neutral
76,thank budget elaboration huge congratulations million role model,Neutral
77,capital investment majorly benificial people civil sector unemployment sectors like computer science accountancy law etc govt also thought,Neutral
78,sir challant coverage would please give video excise liquor scam delhi yr,Neutral
79,congratulations great vlogger love see juli always,Positive
80,congratulations inspiration,Neutral
81,presentation ke liye bht helpful hua tysm,Neutral
82,amazing video brother thank making type video always support,Positive
83,congratulations dhruve sir million time saw video see regular video,Neutral
84,helpful sir,Neutral
85,congratulations bro u r brilliant,Positive
86,congratulations reaching subscribers definitely break many milestones terms acquiring new subscribers near future,Neutral
87,explained budget well explanation meticulous along also tell government use spend budget people would able understand government policy well,Neutral
88,love bro always best explanae,Positive
89,sir please make video eps research wonderful,Positive
90,waiting dhruv video topic thank much buddy well soon,Neutral
91,watching dhruv since days around subscribers today reached subscribers ca believe hats dhruv ous supporting man let make reach,Neutral
92,thanks sir video think overall good,Neutral
93,bro making video central bank vs state banking system really spread awareness,Neutral
94,congratulations keep god bless,Neutral
95,congratulations subscribers like videos much full information true facts thank much,Neutral
96,sir earthquakes pe video banaye uski history btaye ki kon kon se zone earthquakes aa sakte h ye bhi btaye ki repeat history bhi bataye pls par video banaye,Neutral
97,nice explanation sir thank much,Neutral
98,really appreciate team hard work bringing us fresh true information everytime free cost hats guys,Neutral
99,always informative video thanks,Neutral
